atoll,region,seabird_data,lat,long,number_islets,annual_precipitation_mm,land_area_sqkm,lagoon_area_sqkm,tropical_storms_50km,hurricanes_50km,hurricanes_100km,hurricanes_200km,distance_nearest_atoll_km,nearest_high_island,distance_nearest_high_island_km,distance_continent_km,human_population
Ringgold,Fiji,no,-16.7177000,-179.4503000,3,2990,0.23,2,6,7,11,19,35,Vanua_Levu,68,3024,2990
Rongelap,Marshalls,yes,11.1629026,166.8943033,61,1651,21,1016,4,1,3,4,27,Kosrae,778,3626,79
Rongerik,Marshalls,yes,11.3560000,167.4482000,22,1651,1.68,164,5,1,3,3,42,Kosrae,821,3682,0
Rose,Central_Pacific,yes,-14.5424865,-168.1637445,2,2541,0.05,4,3,0,5,9,553,Luma,140,4217,0
Rowa,East_Papua,no,-13.6239000,167.5185000,15,4000,2,15,9,0,5,15,682,Vanua_Lava,12,2028,0
Saloman,Western_Indian_Ocean,yes,-5.3303000,72.2460000,11,3750,3.56,25,1,0,0,0,29,Sri_Lanka,1534,1590,0
Sama,East_Papua,no,-1.4032000,144.0808000,4,3382,0.73,3,0,0,0,0,9,Manus,282,1042,0
Samasuma,East_Papua,no,-1.4810000,144.0458000,4,3382,2.55,6,0,0,0,0,8,Papua,224,1035,0
Sapwuahfik,Carolines,yes,5.8161306,157.2477972,10,4000,1.5,96,2,0,0,4,124,Pohnpei,144,2451,433
Satawan,Carolines,yes,5.4915713,153.5423431,33,3406,5,376,2,0,0,4,8,Chuuk,280,2172,3000
Scilly,Eastern_Polynesia,yes,-16.5434000,-154.6841000,13,1846,3.5,89,2,2,2,4,78,Maupiti,254,5452,40
Sorol,Carolines,yes,8.1237710,140.4063600,9,3250,0.93,10,8,10,21,32,196,Colonia,287,2097,0
St_Francois,Western_Indian_Ocean,no,-7.1177000,52.7490000,2,1420,0.5,34,0,0,0,0,8,Mahe,398,1321,0
St_Joseph,Western_Indian_Ocean,yes,-5.4306000,53.3358000,13,1490,1.21,10,0,0,0,0,185,Mahe,249,1191,0
Starbuck,Central_Pacific,yes,-5.6405000,-155.8776000,1,800,16.2,0,0,0,0,0,207,Bora_Bora,1276,5853,0
Suheli_Par,Lakshadweep,yes,10.0774000,72.2915000,3,1614,0.89,52,3,1,4,7,144,Sri_Lanka,837,404,10
Surprise,Coral_Sea,yes,-18.4121000,163.1109000,3,750,0.53,443,17,8,15,39,34,New_Caledonia,202,1298,0
Suwarrow,Eastern_Polynesia,yes,-13.2279000,-163.1261000,57,2400,0.92,118,3,1,2,7,388,Luma,688,4791,0
Swains,Central_Pacific,yes,-11.0529040,-171.0767349,1,2500,2.43,1,1,0,2,6,178,Samoa,293,4099,0
Tabiteuea,Gilberts,yes,-1.4089000,174.8694000,43,1491,38,487,0,0,0,0,68,Nauru,878,3532,5261
Tabuaeran,Central_Pacific,yes,3.8720000,-159.3170178,22,2082,33.73,106,0,0,0,0,143,Hawaii,1712,6093,1990
Taenga,Eastern_Polynesia,no,-16.3574000,-143.1398000,55,1788,20,172,0,0,0,0,42,Tahiti,657,6574,113
Tahanea,Eastern_Polynesia,yes,-16.8646000,-144.7778000,86,1575,9.5,552,1,0,0,2,39,Tahiti,473,6390,0
Taiaro,Eastern_Polynesia,yes,-15.7438000,-144.6336000,15,1702,16,12,0,0,0,1,51,Tahiti,528,6456,0
Taka,Marshalls,yes,11.1520422,169.6179182,6,1583,0.57,111,2,1,3,3,7,Kosrae,967,3852,0
Takapoto,Eastern_Polynesia,yes,-14.6323339,-145.1763392,43,1615,15,81,0,1,1,1,10,Tahiti,547,6455,380
Takaroa,Eastern_Polynesia,yes,-14.4496000,-144.9694000,69,1615,20,90,0,1,1,1,23,Tahiti,579,6482,674
Takume,Eastern_Polynesia,yes,-15.8099000,-142.2098000,71,1854,5,45,0,0,0,0,20,Tahiti,769,6691,116
Takuu,East_Papua,yes,-4.7537000,156.9735000,13,3000,1.11,109,0,0,0,0,166,Bougainville,219,1703,600
Tarawa,Gilberts,yes,1.4387000,172.9878000,29,2170,31.02,398,0,0,0,0,8,Nauru,703,3543,70480
Tatakoto,Eastern_Polynesia,yes,-17.3416000,-138.3967,56,1324,7.3,20,0,1,1,3,173,Mangareva,734,6990,259
Tauere,Eastern_Polynesia,no,-17.3772000,-141.506,7,1612,3.9,10,0,0,0,2,85,Tahiti,809,6687,7
Tekokota,Eastern_Polynesia,yes,-17.3135000,-142.5725000,4,1560,0.9,5,0,0,0,0,25,Tahiti,696,6586,0
Temitangi,Eastern_Polynesia,yes,-21.6803000,-140.6266,43,1754,7.7,63,3,1,1,2,164,Mangareva,601,6589,58
Temoe,Eastern_Polynesia,yes,-23.3466000,-134.4779,32,1707,2.1,14,0,0,0,0,271,Mangareva,55,7116,0
Tenararo,Eastern_Polynesia,yes,-21.3043000,-136.7447000,8,1658,1.6,2,2,0,1,3,8,Mangareva,266,6974,0
Tenaruga,Eastern_Polynesia,no,-21.3451000,-136.542,15,1658,2.3,6,1,0,1,3,9,Mangareva,251,6997,50
Tepoto,Eastern_Polynesia,no,-16.8206000,-144.2804000,1,1590,0.6,2,0,0,0,1,16,Tahiti,526,6441,0
Teraina,Central_Pacific,yes,4.6839252,-160.3783959,1,2949,14.2,3,0,0,0,0,139,Hawaii,1655,6046,1893
Tetiaroa,Eastern_Polynesia,yes,-17.0162552,-149.5897766,12,2800,6.45,20,0,0,2,3,132,Tahiti,54,5921,250
Thiladhunmathi,Maldives,no,6.7164000,73.0161000,82,1779,39.39,1249,2,0,0,1,34,Sri_Lanka,756,467,29732
Tikehau,Eastern_Polynesia,yes,-15.0031000,-148.1738000,175,1780,20,398,0,1,3,4,13,Tahiti,306,6157,529
Toau,Eastern_Polynesia,yes,-15.9070000,-146.0233000,70,1650,12,596,0,0,1,3,33,Tahiti,389,6311,18
Tongareva,Eastern_Polynesia,yes,-8.9985560,-157.9715000,18,2289,9.84,201,0,0,0,1,358,Maupiti,1028,5442,226
Tuanake,Eastern_Polynesia,no,-16.6531000,-144.2148000,33,1557,6,27,0,0,0,0,12,Tahiti,536,6454,6
Tubbataha,Philippines,yes,8.8500000,119.9333000,1,2905,0.4,968,4,0,1,7,1462,Palawan,158,1205,0
Tupai,Eastern_Polynesia,yes,-16.2623000,-151.8165000,5,1970,10.24,12,2,0,2,5,197,Bora_Bora,23,5736,0
Tureia,Eastern_Polynesia,yes,-20.8293000,-138.539,27,1579,8,60,1,0,2,3,61,Mangareva,444,6829,275
Ujae,Marshalls,yes,9.0812091,165.6122758,15,2286,1.86,218,5,3,5,8,49,Kosrae,499,3367,364
Ujelang,Marshalls,yes,9.8206101,160.9263437,30,1966,1.86,75,2,3,6,13,218,Pohnpei,424,3054,0
Ulithi,Carolines,yes,9.9613889,139.6036111,40,2832,4.5,314,24,13,27,55,17,Colonia,166,2308,773
Utirik,Marshalls,yes,11.2497000,169.7880000,10,1583,2.4,78,1,1,3,4,7,Kosrae,984,3873,350
Vahanga,Eastern_Polynesia,yes,-21.3321000,-136.651,16,1658,3.8,6,1,0,1,3,8,Mangareva,260,6989,0
Vahitahi,Eastern_Polynesia,no,-18.7742000,-138.8197,16,1387,2.5,9,1,1,2,3,73,Mangareva,622,6888,105
Vairaatea,Eastern_Polynesia,yes,-19.3491000,-139.2201,6,1469,3,14,1,2,2,2,56,Mangareva,603,6823,57
Vaitupu,Tuvalu,yes,-7.2792000,178.6782000,9,3393,5.6,0.76,0,0,0,1,57,Rotuma,580,3386,1061
Vanavana,Eastern_Polynesia,yes,-20.7809000,-139.1407,6,1579,5,3,1,0,1,3,58,Mangareva,498,6771,0
Wailagilala,Fiji,yes,-16.7732000,-179.1073000,1,2200,0.3,13,5,6,13,18,73,Vanua_Levu,114,3037,0
Wake,Isolated_Pacific,yes,19.2960859,166.6269779,3,936,7.38,10,2,3,5,12,858,Pohnpei,1631,3966,0
West_Fayu,Carolines,no,8.0743000,146.7162000,1,3031,0.6,7,8,5,8,22,74,Chuuk,539,2125,0
Woleai,Carolines,no,7.3462000,143.8652000,18,3062,4.5,34,11,4,8,16,60,Chuuk,845,2002,1081
Wotho,Marshalls,yes,9.9562337,166.1363121,13,2159,4.33,100,4,1,3,8,110,Kosrae,616,3476,97
Wotje,Marshalls,yes,9.438,170.0167,75,1499,8.18,717,5,0,2,2,23,Kosrae,896,3774,859
